product_category,brand,product_name,price,rank,ingredients,skin_type
serum,Neutrogena,Hydro Boost Hydrating Serum,22.97,4.3,"Water, Dimethicone, Glycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Carbomer, Sodium Hyaluronate, Sodium Hydroxide, Chlorphenesin",dry|combination|normal
cleanser,CeraVe,Hydrating Cleanser,13.99,4.7,"Water, Glycerin, Behentrimonium Methosulfate, Niacinamide, PEG-150 Pentaerythrityl Tetrastearate, Cetearyl Glucoside, Ceramide NP, Ceramide AP, Ceramide EOP, Hyaluronic Acid, Cholesterol, Phytosphingosine, Carbomer, Sodium Lauroyl Lactylate, Xanthan Gum, Sodium Chloride, Citric Acid, Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben",dry|normal|sensitive
cleanser,Vanicream,Gentle Facial Cleanser,9.49,4.6,"Purified Water, Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Glycerin, PEG-150 Distearate, Dimethicone, Carbomer, Sodium Hydroxide, Disodium EDTA, Sorbic Acid",sensitive|dry|normal
cleanser,La Roche-Posay,Toleriane Hydrating Gentle Cleanser,15.99,4.5,"Water, Glycerin, Ceramide-3, Niacinamide, Disodium Cocoamphodiacetate, Coco-Betaine, PEG-6 Caprylic/Capric Glycerides, Carbomer, Xanthan Gum, Sodium Hydroxide, Disodium EDTA",sensitive|dry|normal
cleanser,Cetaphil,Gentle Skin Cleanser,11.97,4.5,"Water, Cetyl Alcohol, Propylene Glycol, Sodium Lauryl Sulfate, Stearyl Alcohol, Methylparaben, Propylparaben, Butylparaben",sensitive|dry|normal
cleanser,Youth to the People,Superfood Antioxidant Cleanser,36.00,4.4,"Aloe Barbadensis Leaf Juice, Glycerin, Cocamidopropyl Hydroxysultaine, Sodium Methyl Cocoyl Taurate, PEG-120 Methyl Glucose Dioleate, Camellia Sinensis Leaf Extract, Spinacia Oleracea Leaf Extract, Kale Extract, Tocopheryl Acetate, Sodium Hyaluronate, Panthenol",normal|combination|oily
toner,Thayers,Witch Hazel Facial Toner,10.95,4.5,"Aloe Barbadensis Leaf Juice, Hamamelis Virginiana Water, Water, Glycerin, Sodium PCA, Allantoin, Glycyrrhiza Glabra Root Extract, Fragrance, Citric Acid, Sodium Citrate",normal|oily|combination
toner,Paula's Choice,Skin Balancing Pore-Reducing Toner,26.00,4.4,"Water, Glycerin, Sodium PCA, Niacinamide, Panthenol, Allantoin, Sodium Hyaluronate, Ceramide NP, Aloe Barbadensis Leaf Juice, Saccharomyces Lysate Extract, Oat Extract, Licorice Root Extract",oily|combination|normal
toner,Some By Mi,AHA BHA PHA 30 Days Miracle Toner,14.99,4.4,"Water, Niacinamide, Glycerin, AHA, BHA, PHA, Tea Tree Extract, Panthenol, Allantoin, Saccharomyces Ferment, Centella Asiatica Extract, Sodium Hyaluronate",oily|acne-prone|combination
sunscreen,EltaMD,UV Clear Broad-Spectrum SPF 46,41.00,4.8,"Active: Zinc Oxide 9%, Octinoxate 7.5%. Inactive: Water, Cyclopentasiloxane, Dimethicone, Niacinamide, Lactic Acid, Hyaluronic Acid, Tocopheryl Acetate, Sodium Hyaluronate",sensitive|oily|combination
sunscreen,Neutrogena,Ultra Sheer Dry-Touch SPF 100,12.97,4.3,"Active: Avobenzone 3%, Homosalate 15%, Octisalate 5%, Octocrylene 2.5%. Inactive: Water, Dimethicone, Glycerin, PEG-100 Stearate, Cetyl Alcohol, Benzyl Alcohol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer",normal|oily|combination
sunscreen,Supergoop,Unseen Sunscreen SPF 40,36.00,4.5,"Active: Avobenzone 3%, Homosalate 10%, Octisalate 5%, Octocrylene 2.5%. Inactive: Water, Dimethicone, Glycerin, Squalane, Frankincense Oil, Meadowfoam Seed Oil, Red Algae Extract, Tocopheryl Acetate",normal|dry|combination
sunscreen,Biore UV,Aqua Rich Watery Essence SPF 50,16.50,4.7,"Active: Uvinul A Plus, Tinosorb S. Inactive: Water, Dimethicone, Betaine, Glycerin, Alcohol, Hydroxypropyl Methylcellulose, Sodium Citrate, Citric Acid, BHT, Fragrance",normal|oily|combination
eye_cream,CeraVe,Eye Repair Cream,16.98,4.3,"Water, Glycerin, Niacinamide, Dimethicone, Ceramide NP, Ceramide AP, Ceramide EOP, Hyaluronic Acid, Sodium Hyaluronate, Carbomer, Panthenol, Allantoin, Tocopherol, Sodium Lauroyl Lactylate, Cholesterol, Phytosphingosine, Sodium Citrate",dry|sensitive|normal
eye_cream,Neutrogena,Rapid Wrinkle Repair Eye Cream,21.99,4.2,"Water, Glycerin, Retinol, Hyaluronic Acid, Dimethicone, Carbomer, Sodium Hydroxide, Tocopherol, PEG-100 Stearate, Cetearyl Alcohol, Fragrance",normal|dry|combination
treatment,Paula's Choice,BHA 2% Exfoliant,32.00,4.7,"Water, Methylpropanediol, Butylene Glycol, Salicylic Acid, Polysorbate 20, Camellia Oleifera Leaf Extract, Sodium Hydroxide, Tetrasodium EDTA",oily|combination|acne-prone
treatment,The Ordinary,Salicylic Acid 2% Solution,6.50,4.2,"Water, Salicylic Acid, Witch Hazel, Niacinamide, Zinc PCA, Panthenol, Allantoin, Sodium Hydroxide",oily|acne-prone|combination
treatment,CosRx,AHA 7 Whitehead Power Liquid,24.00,4.4,"Glycolic Acid, Water, Butylene Glycol, Niacinamide, Panthenol, 1,2-Hexanediol, Allantoin, Sodium Hydroxide",normal|combination|oily
